Language	Word	 Count						Language	Word	Count
de	weniger	4						en	skilled	13
de	warum	4						en	india	8
de	arbeitsmarkt	3						en	labour	8
de	mehr	3						en	indian	6
de	konjunktur	3						en	labor	4
de	trotz	3						en	demand	4
de	unternehmen	2						en	looks	3
de	seit	2						en	gap	3
de	jahren	2						en	faces	3
de	stellenabbau	2						en	turns	3
